,ID,Date,Title,Episode Link,Reference 1,Reference 1 Link,Reference 2,Referene 2 Link,Views,You Tube Link,Activists,Actors,Adventurers,AI,Artists,Athletes,Boxers,Kickboxers,Mixed Martial Artists,Powerlifters,Rock Climbers,Strongmen,Surfers,Triathletes,Ultramarathon Runners,Authors,Billionaires,Bodybuilders,Brazilian Jiu-Jitsu,Car Enthusiasts,CEOs,Chefs,Comedians,Debates,Directors,Documentary Filmmakers,Entrepreneurs,Health & Fitness,Historians,Hunters,Intellectual Dark Web,Journalists,Lawyers,Magicians,Mathematicians,Mentalists,Military Veterans,MMA Trainers/Coaches,Musicians,PhDs,Philosophers,Political Commentators,Politicians,Professional Wrestlers,Professors,Psychedelic Explorers,Psychologists,Race Car Drivers,Rappers,Scientists,Astrophysicists,Biologists,Cosmologists,Physicists,Skeptics,TV Hosts,UFOs,Writers,YouTubers,Category,Full Description,Tokenized,Title_Tokenized
0,1530,2020-08-31,Duncan Trussell,http://podcasts.joerogan.net/podcasts/duncan-trussell-19,@duncantrussell,https://twitter.com/duncantrussell,DuncanTrussell.com,http://www.duncantrussell.com/,1800000.0,https://youtube.com/watch?v=8xRz8ra9mdI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Comedians' 'Psychedelic Explorers'],"
JRE #1530 - Duncan Trussell08.31.20
		#1530. Duncan Trussell is a stand-up comedian, and host of his own podcast “The Duncan Trussell Family Hour”. His new show “The Midnight Gospel” is now streaming only on Netflix.		
		





00:00:00  / 
				5:31:09




To download: Right-Click and save target as.



SHARE

",JRE   Duncan Trussell Duncan Trussell is a standup comedian and host of his own podcast The Duncan Trussell Family Hour His new show The Midnight Gospel is now streaming only on Netflix   ,Duncan Trussell
2,1528,2020-08-20,Nikki Glaser,http://podcasts.joerogan.net/podcasts/nikki-glaser-3,@NikkiGlaser,https://twitter.com/NikkiGlaser,NikkiGlaser.com,http://nikkiglaser.com/,2200000.0,https://youtube.com/watch?v=KUCkrZKslr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Comedians'],"
JRE #1528 - Nikki Glaser08.20.20
		#1528. Nikki Glaser is an American stand-up comedian, podcast host, and television host. Look for her podcast ""You Up with Nikki Glaser"" available on Apple Podcasts.		
		





00:00:00  / 
				2:42:06




To download: Right-Click and save target as.



SHARE

",JRE   Nikki Glaser Nikki Glaser is an American standup comedian podcast host and television host Look for her podcast You Up with Nikki Glaser    ,Nikki Glaser
4,1526,2020-08-15,Ali Macofsky,http://podcasts.joerogan.net/podcasts/ali-macofsky,@notalimac,https://www.instagram.com/notalimac,@restingbpod,https://www.instagram.com/restingbpod/,2400000.0,https://youtube.com/watch?v=7eRR7j1OCOs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Comedians'],"
JRE #1526 - Ali Macofsky08.15.20
		#1526. Ali Macofsky is an actress, writer, and standup comedian. Checkout her podcast ""Resting Bitch"" available on Apple Podcasts.		
		





00:00:00  / 
				2:40:31




To download: Right-Click and save target as.



SHARE

",JRE   Ali Macofsky Ali Macofsky is an actress writer and standup comedian Checkout her podcast Resting Bitch    ,Ali Macofsky
6,1524,2020-08-13,Ron Funches,http://podcasts.joerogan.net/podcasts/ron-funches-2,@RonFunches,https://twitter.com/RonFunches,RonFunches.com,https://ronfunches.com/,1400000.0,https://youtube.com/watch?v=PjLW5irADoM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Actors' 'Comedians'],"
JRE #1524 - Ron Funches08.13.20
		#1524. Ron Funches is a comedian, actor and writer. His podcast ""Gettin' Better"" is available on Apple Podcasts & Spotify. On September 5 , his live stand up event ""Awakening"" will be streaming on YouTube and tickets are now available here: eventbrite.com/e/ron-funches-awakening-tickets-113410704470		
		





00:00:00  / 
				2:22:24




To download: Right-Click and save target as.



SHARE

",JRE   Ron Funches Ron Funches is a comedian actor and writer His podcast Gettin Better is   Spotify On September   his live stand up event Awakening will be streaming on YouTube and tickets are now available here eventbritecomeronfunchesawakeningtickets   ,Ron Funches
8,1522,2020-08-07,Rob Lowe,http://podcasts.joerogan.net/podcasts/rob-lowe,@RobLowe,https://twitter.com/RobLowe,apple.co/literally,https://podcasts.apple.com/us/podcast/literally-with-rob-lowe/id1510058141?mt=2&ign-itsct=pod_teamcoco_literallyroblowe&ign-itscg=80085,4099999.9999999995,https://youtube.com/watch?v=pw8dkF-jotk,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Actors'],"
JRE #1522 - Rob Lowe08.07.20
		#1522. Rob Lowe is an actor, producer, and director. His new podcast ""Literally! with Rob Lowe"" is now available on Apple Podcasts.		
		





00:00:00  / 
				3:02:40




To download: Right-Click and save target as.



SHARE

",JRE   Rob Lowe Rob Lowe is an actor producer and director His new podcast Literally with Rob Lowe is now    ,Rob Lowe
10,1529,2020-08-21,Whitney Cummings & Annie Lederman,http://podcasts.joerogan.net/podcasts/whitney-cummings-annie-lederman,@WhitneyCummings,https://twitter.com/WhitneyCummings,@annielederman,https://twitter.com/annielederman,2600000.0,https://youtube.com/watch?v=5UXpbbX9-Wo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Actors' 'Comedians'],"
JRE #1529 - Whitney Cummings & Annie Lederman08.21.20
		#1529. Whitney Cummings is a stand up comedian, actress, writer, and producer. Check out her new podcast “Good For You” on Apple Podcasts & Spotify.  Annie Lederman is a stand up comedian. She is also the host of “MEANSPIRATION” podcast on All Things Comedy.		
		





00:00:00  / 
				3:18:41




To download: Right-Click and save target as.



SHARE

",JRE   Whitney Cummings  Annie Lederman Whitney Cummings is a stand up comedian actress writer and producer Check out her new podcast Good For You on Apple Podcasts  Spotify  Annie Lederman is a stand up comedian She is also the host of MEANSPIRATION podcast on All Things Comedy   ,Whitney Cummings  Annie Lederman
12,1527,2020-08-18,David Blaine,http://podcasts.joerogan.net/podcasts/david-blaine,@davidblaine,https://twitter.com/davidblaine,DavidBlaine.com,https://davidblaine.com/,6200000.0,https://youtube.com/watch?v=NY3Zg37nIHo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Magicians'],"
JRE #1527 - David Blaine08.18.20
		#1527. David Blaine is an illusionist, endurance artist, and extreme performer. He is best known for his high-profile feats of endurance and has set and broken several world records. His new special ""Ascension"" premieres on YouTube live on August 31. https://www.youtube.com/watch?v=QwzvNAAqH3g		
		





00:00:00  / 
				2:32:06




To download: Right-Click and save target as.



SHARE

",JRE   David Blaine David Blaine is an illusionist endurance artist and extreme performer He is best known for his highprofile feats of endurance and has set and broken several world records His new special Ascension premieres on YouTube live on August  httpswwwyoutubecomwatchvQwzvNAAqHg   ,David Blaine
14,1525,2020-08-14,Tim Dillon,http://podcasts.joerogan.net/podcasts/tim-dillon-4,@TimJDillon,https://twitter.com/TimJDillon,TimDillonComedy.com,http://timdilloncomedy.com/,4099999.9999999995,https://youtube.com/watch?v=h9XzuUXj6Gc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Comedians'],"
JRE #1525 - Tim Dillon08.14.20
		#1525. Tim Dillon is a comedian, tour guide, and host. His podcast “The Tim Dillon Show” is available on YouTube & Apple Podcasts.		
		





00:00:00  / 
				




To download: Right-Click and save target as.



SHARE

",JRE   Tim Dillon Tim Dillon is a comedian tour guide and host His podcast The Tim Dillon Show is available on YouTube  Apple Podcasts   ,Tim Dillon
16,1523,2020-08-12,Joey Diaz & Brian Redban,http://podcasts.joerogan.net/podcasts/joey-diaz-brian-redban,@madflavor,https://twitter.com/madflavor,@redban,https://twitter.com/redban,4700000.0,https://youtube.com/watch?v=INSy7D2LBfU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Actors' 'Comedians'],"
JRE #1523 - Joey Diaz & Brian Redban08.12.20
		#1523. Joey “CoCo” Diaz is a Cuban-American stand up comedian and actor.  Joey also hosts his own podcast called “The Church of What’s Happening Now.” Brian Redban is a comedian and the founder of the Deathsquad podcast network. Also look for him on “Kill Tony” available on Apple Podcasts & YouTube.		
		





00:00:00  / 
				3:39:40




To download: Right-Click and save target as.



SHARE

",JRE   Joey Diaz  Brian Redban Joey CoCo Diaz is a CubanAmerican stand up comedian and actor  Joey also hosts his own podcast called The Church of Whats Happening Now Brian Redban is a comedian and the founder of the Deathsquad podcast network Also look for him on Kill Tony   YouTube   ,Joey Diaz  Brian Redban
18,1521,2020-08-06,Josh Dubin & Jason Flom,http://podcasts.joerogan.net/podcasts/josh-dubin-jason-flom,@itsjasonflom,https://twitter.com/itsjasonflom,InnocenceProject.org,https://www.innocenceproject.org/,2000000.0,https://youtube.com/watch?v=Trh7YWo2Bmo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['CEOs' 'Lawyers'],"
JRE #1521 - Josh Dubin & Jason Flom08.06.20
		#1521. Josh Dubin is an Innocence Project Ambassador Advisor & President of Dubin Research and Consulting, Inc. He also hosts a podcast called ""Wrongful Conviction: Junk Science"" available on Apple Podcasts and Spotify. https://apple.co/2Q5EtHd Jason Flom is an Innocence Project Board Member, CEO of Lava Media, and host of the ""Wrongful Conviction with Jason Flom"" podcast available on Apple Podcasts and Spotify. https://apple.co/2EJxrF3		
		





00:00:00  / 
				3:04:18




To download: Right-Click and save target as.



SHARE

",JRE   Josh Dubin  Jason Flom Josh Dubin is an Innocence Project Ambassador Advisor  President of Dubin Research and Consulting Inc He also hosts a podcast called Wrongful Conviction Junk Science  and Spotify httpsapplecoQEtHd Jason Flom is an Innocence Project Board Member CEO of Lava Media and host of the Wrongful Conviction with Jason Flom podcast  and Spotify httpsapplecoEJxrF   ,Josh Dubin  Jason Flom
