,Category,Title
0,Activists,#1496 – Colion Noir
1,Activists,#1419 – Daryl Davis
2,Activists,#1368 – Edward Snowden
3,Activists,#1325 – Dr. Cornel West
4,Activists,#1303 – Tommy Chong
5,Activists,#1297 – Phil Demers
6,Activists,#1214 – Lawrence Lessig
7,Activists,#1076 – Phil Demers
8,Actors,#1529 – Whitney Cummings & Annie Lederman
9,Actors,#1524 – Ron Funches
10,Actors,#1523 – Joey Diaz & Brian Redban
11,Actors,#1522 – Rob Lowe
12,Actors,#1507 – Bob Saget
13,Actors,#1505 – Hannibal Buress
14,Actors,#1502 – Russell Peters
15,Actors,#1493 – Steve Schirripa & Michael Imperioli
16,Actors,#1491 – Bill Burr
17,Actors,#1490 – Jimmy O. Yang
18,Actors,#1483 – Jesus Trejo
19,Actors,#1480 – Kevin Hart
20,Actors,#1476 – Patton Oswalt
21,Actors,#1473 – Tom Papa
22,Actors,#1472 – Michael Yo
23,Actors,#1468 – Alonzo Bodden
24,Actors,#1463 – Tom Green
25,Actors,#1462 – Kurt Metzger
26,Actors,#1461 – Owen Smith
27,Actors,#1460 – Donnell Rawlings
28,Actors,#1449 – Bryan Callen
29,Actors,#1448 – Joey Diaz
30,Actors,#1440 – Fortune Feimster
31,Actors,#1438 – Andrew Santino
32,Actors,#1433 – Michael Yo
33,Actors,#1431 – Owen Smith
34,Actors,#1424 – Tom Papa
35,Actors,#1411 – Robert Downey Jr.
36,Actors,#1409 – Joey Diaz
37,Actors,#1404 – Bryan Callen
38,Actors,#1382 – RZA & Donnell Rawlings
39,Actors,#1381 – Donnell Rawlings
40,Actors,#1376 – Artie Lange
41,Actors,#1375 – Edward Norton
42,Actors,#1372 – Kevin Smith
43,Actors,#1371 – Andrew Santino
44,Actors,#1362 – Lenny Clarke
45,Actors,#1359 – Roseanne Barr
46,Actors,#1351 – Dan Akroyd
47,Actors,#1348 – Bill Burr
48,Actors,#1338 – Roy Wood Jr.
49,Actors,#1335 – Jim Gaffigan
50,Actors,#1334 – Fahim Anwar
51,Actors,#1333 – Tom Papa
52,Actors,#1331 – Alonzo Bodden
53,Actors,#1328 – Whitney Cummings
54,Actors,#1319 – Joey Diaz
55,Actors,#1317 – Andrew Santino
56,Actors,#1303 – Tommy Chong
57,Actors,#1293 – Andrew Santino
58,Actors,#1290 – Bryan Callen
59,Actors,#1289 – Eddie Izzard
60,Actors,#1283 – Russell Brand
61,Actors,#1281 – Tom Papa
62,Actors,#1278 – Kevin Hart
63,Actors,#1269 – Bryan Callen
64,Actors,#1260 – Lennox Lewis & Russell Peters
65,Actors,#1237 – Sebastian Maniscalco
66,Actors,#1210 – Tom Papa
67,Actors,#1190 – Joey Diaz
68,Actors,#1184 – Roseanne Barr
69,Actors,#1182 – Nick Kroll
70,Actors,#1165 – Tom Papa
71,Actors,#1155 – Henry Rollins
72,Actors,#1153 – Macaulay Culkin
73,Actors,#1148 – Andrew Santino
74,Actors,JRE MMA Show #36 – Brendan Schaub & Bryan Callen
75,Actors,#1146 – Jeff Garlin
76,Actors,#1140 – Joey Diaz
77,Actors,#1129 – Tom Papa
78,Actors,#1123 – Kevin Smith
79,Actors,#1092 – Mary Lynn Rajskub
80,Actors,#1088 – Bryan Callen
81,Actors,#1072 – Joey Diaz
82,Actors,#1066 – Mel Gibson & Dr. Neil Riordan
83,Actors,#1061 – Tom Papa
84,Actors,JRE MMA Show #7 – Brendan Schaub & Bryan Callen
85,Actors,#1046 – Owen Smith
86,Actors,#1045 – Bryan Callen
87,Actors,#1030 – Joey Diaz
88,Actors,#1021 – Russell Brand
89,Actors,#1011 – Tom Papa
90,Actors,"#1000 – Joey Diaz, Tom Segura"
91,Actors,#969 – Andrew Santino
