,Unnamed: 0,Episode ID,Date,Title,Description,Episode Link,Reference 1,Reference 1 Link,Reference 2,Referene 2 Link,Full Description
0,0,#1530,08.31.20,Duncan Trussell,"#1530. Duncan Trussell is a stand-up comedian, and host of his own podcast “The Duncan Trussell Family...",http://podcasts.joerogan.net/podcasts/duncan-trussell-19,@duncantrussell,https://twitter.com/duncantrussell,DuncanTrussell.com,http://www.duncantrussell.com/,"
JRE #1530 - Duncan Trussell08.31.20
		#1530. Duncan Trussell is a stand-up comedian, and host of his own podcast “The Duncan Trussell Family Hour”. His new show “The Midnight Gospel” is now streaming only on Netflix.		
		





00:00:00  / 
				5:31:09




To download: Right-Click and save target as.



SHARE

"
1,1,#1528,08.20.20,Nikki Glaser,"#1528. Nikki Glaser is an American stand-up comedian, podcast host, and television host. Look for her podcast...",http://podcasts.joerogan.net/podcasts/nikki-glaser-3,@NikkiGlaser,https://twitter.com/NikkiGlaser,NikkiGlaser.com,http://nikkiglaser.com/,"
JRE #1528 - Nikki Glaser08.20.20
		#1528. Nikki Glaser is an American stand-up comedian, podcast host, and television host. Look for her podcast ""You Up with Nikki Glaser"" available on Apple Podcasts.		
		





00:00:00  / 
				2:42:06




To download: Right-Click and save target as.



SHARE

"
2,2,#1526,08.15.20,Ali Macofsky,"#1526. Ali Macofsky is an actress, writer, and standup comedian. Checkout her podcast “Resting Bitch”...",http://podcasts.joerogan.net/podcasts/ali-macofsky,@notalimac,https://www.instagram.com/notalimac,@restingbpod,https://www.instagram.com/restingbpod/,"
JRE #1526 - Ali Macofsky08.15.20
		#1526. Ali Macofsky is an actress, writer, and standup comedian. Checkout her podcast ""Resting Bitch"" available on Apple Podcasts.		
		





00:00:00  / 
				2:40:31




To download: Right-Click and save target as.



SHARE

"
3,3,#1524,08.13.20,Ron Funches,"#1524. Ron Funches is a comedian, actor and writer. His podcast “Gettin’ Better” is available on Apple...",http://podcasts.joerogan.net/podcasts/ron-funches-2,@RonFunches,https://twitter.com/RonFunches,RonFunches.com,https://ronfunches.com/,"
JRE #1524 - Ron Funches08.13.20
		#1524. Ron Funches is a comedian, actor and writer. His podcast ""Gettin' Better"" is available on Apple Podcasts & Spotify. On September 5 , his live stand up event ""Awakening"" will be streaming on YouTube and tickets are now available here: eventbrite.com/e/ron-funches-awakening-tickets-113410704470		
		





00:00:00  / 
				2:22:24




To download: Right-Click and save target as.



SHARE

"
4,4,#1522,08.07.20,Rob Lowe,"#1522. Rob Lowe is an actor, producer, and director. His new podcast “Literally! with Rob...",http://podcasts.joerogan.net/podcasts/rob-lowe,@RobLowe,https://twitter.com/RobLowe,apple.co/literally,https://podcasts.apple.com/us/podcast/literally-with-rob-lowe/id1510058141?mt=2&ign-itsct=pod_teamcoco_literallyroblowe&ign-itscg=80085,"
JRE #1522 - Rob Lowe08.07.20
		#1522. Rob Lowe is an actor, producer, and director. His new podcast ""Literally! with Rob Lowe"" is now available on Apple Podcasts.		
		





00:00:00  / 
				3:02:40




To download: Right-Click and save target as.



SHARE

"
5,5,#1529,08.21.20,Whitney Cummings & Annie Lederman,"#1529. Whitney Cummings is a stand up comedian, actress, writer, and producer. Check out her new podcast...",http://podcasts.joerogan.net/podcasts/whitney-cummings-annie-lederman,@WhitneyCummings,https://twitter.com/WhitneyCummings,@annielederman,https://twitter.com/annielederman,"
JRE #1529 - Whitney Cummings & Annie Lederman08.21.20
		#1529. Whitney Cummings is a stand up comedian, actress, writer, and producer. Check out her new podcast “Good For You” on Apple Podcasts & Spotify.  Annie Lederman is a stand up comedian. She is also the host of “MEANSPIRATION” podcast on All Things Comedy.		
		





00:00:00  / 
				3:18:41




To download: Right-Click and save target as.



SHARE

"
6,6,#1527,08.18.20,David Blaine,"#1527. David Blaine is an illusionist, endurance artist, and extreme performer. He is best known for...",http://podcasts.joerogan.net/podcasts/david-blaine,@davidblaine,https://twitter.com/davidblaine,DavidBlaine.com,https://davidblaine.com/,"
JRE #1527 - David Blaine08.18.20
		#1527. David Blaine is an illusionist, endurance artist, and extreme performer. He is best known for his high-profile feats of endurance and has set and broken several world records. His new special ""Ascension"" premieres on YouTube live on August 31. https://www.youtube.com/watch?v=QwzvNAAqH3g		
		





00:00:00  / 
				2:32:06




To download: Right-Click and save target as.



SHARE

"
7,7,#1525,08.14.20,Tim Dillon,"#1525. Tim Dillon is a comedian, tour guide, and host. His podcast “The Tim Dillon Show”...",http://podcasts.joerogan.net/podcasts/tim-dillon-4,@TimJDillon,https://twitter.com/TimJDillon,TimDillonComedy.com,http://timdilloncomedy.com/,"
JRE #1525 - Tim Dillon08.14.20
		#1525. Tim Dillon is a comedian, tour guide, and host. His podcast “The Tim Dillon Show” is available on YouTube & Apple Podcasts.		
		





00:00:00  / 
				




To download: Right-Click and save target as.



SHARE

"
8,8,#1523,08.12.20,Joey Diaz & Brian Redban,#1523. Joey “CoCo” Diaz is a Cuban-American stand up comedian and actor.  Joey also hosts his own...,http://podcasts.joerogan.net/podcasts/joey-diaz-brian-redban,@madflavor,https://twitter.com/madflavor,@redban,https://twitter.com/redban,"
JRE #1523 - Joey Diaz & Brian Redban08.12.20
		#1523. Joey “CoCo” Diaz is a Cuban-American stand up comedian and actor.  Joey also hosts his own podcast called “The Church of What’s Happening Now.” Brian Redban is a comedian and the founder of the Deathsquad podcast network. Also look for him on “Kill Tony” available on Apple Podcasts & YouTube.		
		





00:00:00  / 
				3:39:40




To download: Right-Click and save target as.



SHARE

"
9,9,#1521,08.06.20,Josh Dubin & Jason Flom,#1521. Josh Dubin is an Innocence Project Ambassador Advisor & President of Dubin Research and...,http://podcasts.joerogan.net/podcasts/josh-dubin-jason-flom,@itsjasonflom,https://twitter.com/itsjasonflom,InnocenceProject.org,https://www.innocenceproject.org/,"
JRE #1521 - Josh Dubin & Jason Flom08.06.20
		#1521. Josh Dubin is an Innocence Project Ambassador Advisor & President of Dubin Research and Consulting, Inc. He also hosts a podcast called ""Wrongful Conviction: Junk Science"" available on Apple Podcasts and Spotify. https://apple.co/2Q5EtHd Jason Flom is an Innocence Project Board Member, CEO of Lava Media, and host of the ""Wrongful Conviction with Jason Flom"" podcast available on Apple Podcasts and Spotify. https://apple.co/2EJxrF3		
		





00:00:00  / 
				3:04:18




To download: Right-Click and save target as.



SHARE

"
10,10,#1530,08.31.20,Duncan Trussell,"#1530. Duncan Trussell is a stand-up comedian, and host of his own podcast “The Duncan Trussell Family...",http://podcasts.joerogan.net/podcasts/duncan-trussell-19,@duncantrussell,https://twitter.com/duncantrussell,DuncanTrussell.com,http://www.duncantrussell.com/,"
JRE #1530 - Duncan Trussell08.31.20
		#1530. Duncan Trussell is a stand-up comedian, and host of his own podcast “The Duncan Trussell Family Hour”. His new show “The Midnight Gospel” is now streaming only on Netflix.		
		





00:00:00  / 
				5:31:09




To download: Right-Click and save target as.



SHARE

"
