,Episode,Description,Link
0,"Dustin Yellin on Making Art, Weaving Madness, and Forging Your Own Path (#467)","Dustin Yellin (@dustinyellin) is an artist who lives in Brooklyn, New York, and is the founder and director of Pioneer Works, a multidisciplinary cultural center in Red Hook, Brooklyn, that builds community through the arts and sciences to create an open and inspired world. He and his incredible work have been featured by media and organizations including the New York Times, Artforum, Vanity Fair, and TED.",https://tim.blog/2020/09/24/dustin-yellin/
1,"Richard Koch on Mastering the 80/20 Principle, Achieving Unreasonable Success, and the Art of Gambling (#466)","Richard Koch (@RichardKoch8020) is an entrepreneur, investor, former strategy consultant, and author of several books on business and ideas, including four on how to apply the 80/20 principle in all walks of life.",https://tim.blog/2020/09/22/richard-koch/
2,My Healing Journey After Childhood Abuse (Includes Extensive Resource List),"My dance partner and safety net in this conversation is my friend Debbie Millman (@debbiemillman). She has been named one of the most creative people in business by Fast Company, and she is the host of Design Matters—a great show and one of the world’s longest running podcasts. She is also Chair of the Masters in Branding Program at the School of Visual Arts and Editorial Director of Print magazine, and she has worked on design strategy for some of the world’s largest brands.",https://tim.blog/2020/09/14/how-to-heal-trauma/
3,"Guy Raz — Traits of Successful Entrepreneurs, The Story of ‘How I Built This,’ Overcoming Anxiety and Depression, and More  (#462)","Guy Raz (@guyraz) is the Michael Phelps of podcasting. He’s the creator and host of the popular podcasts How I Built This, Wisdom from the Top, and The Rewind and the co-creator of the acclaimed podcasts TED Radio Hour and Wow in the World, a children’s program. He’s received the Edward R. Murrow Award, the Daniel Schorr Journalism Prize, the National Headliner Award, the NABJ Award… basically, all the awards.",https://tim.blog/2020/09/10/guy-raz/
4,"Kelly Slater — The Surfing Legend on Routine, Rickson Gracie, Favorite Books, and Overcoming Setbacks  (#461)","Kelly Slater (@kellyslater) is widely considered the greatest surfer of all time. He holds nearly every major record in the sport, including 11 world titles and 55 career victories. He also has the amazing distinction of being both the youngest and oldest world champion in men’s history. His most dominant days were the mid-’90s, when he won five straight titles between 1993 and 1998. ",https://tim.blog/2020/09/08/kelly-slater/
5,Books I’ve Loved — Alain de Botton (#459),"Alain de Botton (@alaindebotton) is the founder and Chairman of The School of Life. He is a writer of essayistic books that have been described as a “philosophy of everyday life.” He’s written on love, travel, architecture, and literature, including the titles How Proust Can Change Your Life and The Consolations of Philosophy. His books have been bestsellers in 30 countries. ",https://tim.blog/2020/09/04/alain-de-botton-book-recommendations/
6,"The Psychedelic News Hour: New Breakthroughs, Compound Comparisons and Warnings (Psilocybin/LSD/Ayahuasca/N,N-DMT/5-MeO-DMT), Treatment of Trauma, Scalable vs. Unscalable Approaches, Making Sense of “Bad” Trips, and Much More (#458)","In this special episode, the tables are turned. Instead of interviewing someone else, I am interviewed by two experts on several topics I’ve both studied and supported, including psychedelic-assisted psychotherapy and what it can do to heal trauma and—broadly speaking—possible futures for mental health. This audio was recorded on a new show, The Psychedelic News Hour, soon to be a podcast, and I’m in conversation with two people: David Rabin, MD, PhD, (@drdavidrabin), a board-certified psychiatrist and neuroscientist, executive director of The Board of Medicine, and co-founder of Apollo Neuroscience, and Molly Maloof, MD, (@drmolly.co), a physician, Stanford lecturer, and ketamine-assisted psychotherapist.",https://tim.blog/2020/09/03/psychedelic-news-hour/
7,"Chuck Palahniuk, Author of Fight Club — A Masterclass in Creative Living and Dangerous Writing (#457)","Writer Chuck Palahniuk (@chuckpalahniuk) has published twenty-three national and international best-selling books. These include fifteen prose novels, a collection of short stories, two graphic novels, two coloring books, a travel guide, a collection of essays, and a memoir about his life as a writer. He was raised in a desert town with a population of three hundred at the time of his birth in 1962. He received a bachelor’s degree in journalism from the University of Oregon. ",https://tim.blog/2020/09/02/chuck-palahniuk/
8,The Power of Myth — The Hero’s Adventure with Joseph Campbell and Bill Moyers (#456),"Photo by Vincent Calmel ""The greatest danger to our future is apathy.""- Dr. Jane Goodall Dr. Jane Goodall (@JaneGoodallInst) was born on April 3rd, 1934, in London, England. At the young age of 26, she followed her passion for animals and Africa to Gombe, Tanzania, where she began her landmark…",https://tim.blog/2020/08/27/the-power-of-myth-joseph-campbell/
9,"Rabbi Lord Jonathan Sacks on Powerful Books, Mystics, Richard Dawkins, and the Dangers of Safe Spaces (#455)","Rabbi Lord Jonathan Sacks (@RabbiSacks) is an international religious leader, philosopher, and respected moral voice. He was the chief rabbi of the UK and Commonwealth from 1991 to 2013 and the recipient of the 2016 Templeton Prize, in recognition of his “exceptional contributions to affirming life’s spiritual dimension.” Rabbi Sacks has been described by HRH The Prince of Wales as “a light unto this nation” and by former British prime minister Tony Blair as “an intellectual giant.” He is an award-winning author of more than 30 books, including Not in God’s Name. His new book, Morality: Restoring the Common Good in Divided Times , recently became a bestseller in the UK and is now available in North America. ",https://tim.blog/2020/08/26/rabbi-lord-jonathan-sacks-2/
